"Issue Type","Summary","Description","Priority","Story Points","Labels","Phase","Epic Name"
"Epic","UI Modernization: Modern & Simple","Refactor the Android Compose UI for lower interaction cost, clearer hierarchy, and stronger consistency across Today/History/Settings/Edit flows.","Highest","","ui,android,compose,ux,modernization","","UI Modernization: Modern & Simple"
"Story","UI-101 A11y: remove empty content descriptions from shared buttons","Update MZ button semantics so TalkBack keeps visible text labels; do not set empty contentDescription. Files: ui/components/MontageZeitComponents.kt","Highest","2","ui,android,compose,a11y,phase1","Phase 1","UI Modernization: Modern & Simple"
"Story","UI-102 Fix shared primary button width contract","Remove implicit fillMaxWidth from MZPrimaryButton and adjust call sites for explicit width intent. Files: ui/components/MontageZeitComponents.kt, today/TodayScreenV2.kt, settings/SettingsScreenV2.kt","Highest","3","ui,android,compose,consistency,phase1","Phase 1","UI Modernization: Modern & Simple"
"Story","UI-103 Reduce settings write churn","Use local draft state and commit on finish/focus loss for high-frequency inputs (radius slider, default city text). Files: settings/SettingsScreenV2.kt","Highest","3","ui,android,compose,performance,phase1","Phase 1","UI Modernization: Modern & Simple"
"Story","UI-104 Improve export action layout on small screens","Replace 3-column export CTA row with mobile-safe stacked/2-step layout. File: settings/SettingsScreenV2.kt","High","2","ui,android,compose,layout,phase1","Phase 1","UI Modernization: Modern & Simple"
"Story","UI-105 Add loading state for settings bootstrap","Show loading placeholder when reminder settings are not loaded yet. File: settings/SettingsScreenV2.kt","Medium","1","ui,android,compose,state,phase1","Phase 1","UI Modernization: Modern & Simple"
"Story","UI-106 Add stable keys to LazyLists","Add key params for history/export lists to improve scroll and recomposition stability. Files: history/HistoryScreen.kt, export/ExportPreviewScreen.kt","Medium","1","ui,android,compose,performance,phase1","Phase 1","UI Modernization: Modern & Simple"
"Story","UI-107 Restrict edit date swipe gesture to header","Move horizontal swipe navigation from whole edit sheet to date header area only. File: edit/EditEntrySheet.kt","Highest","1","ui,android,compose,interaction,phase1","Phase 1","UI Modernization: Modern & Simple"
"Story","UI-201 Collapsible settings sections with summaries","Introduce expandable sections in Settings to reduce visual load and scrolling. File: settings/SettingsScreenV2.kt","High","5","ui,android,compose,information-architecture,phase2","Phase 2","UI Modernization: Modern & Simple"
"Story","UI-202 Make work defaults editable in Settings V2","Allow editing work start/end and break defaults from Settings V2, including ViewModel update APIs.","Highest","3","ui,android,compose,settings,phase2","Phase 2","UI Modernization: Modern & Simple"
"Story","UI-203 Add sticky primary action zone in Today","Keep the next important action visible in Today to reduce taps and scroll-back. File: today/TodayScreenV2.kt","High","5","ui,android,compose,today,phase2","Phase 2","UI Modernization: Modern & Simple"
"Story","UI-204 Persist compact review warning in Today","Replace fully dismissible review banner with compact persistent reminder while review is unresolved. Files: today/TodayScreenV2.kt, today/ReviewSheet.kt","High","2","ui,android,compose,today,phase2","Phase 2","UI Modernization: Modern & Simple"
"Story","UI-205 History sticky mini-filter bar + advanced sheet","Keep key filters sticky and move advanced options into bottom sheet/compact panel. File: history/HistoryScreen.kt","Highest","5","ui,android,compose,history,phase2","Phase 2","UI Modernization: Modern & Simple"
"Story","UI-206 Condense week/month cards in History","Show summary-first cards with optional expanded details to reduce visual noise. File: history/HistoryScreen.kt","High","3","ui,android,compose,history,phase2","Phase 2","UI Modernization: Modern & Simple"
"Story","UI-207 Sticky save bar and sectioned edit form","Keep save action reachable and split edit form into clearer, cheaper sections. File: edit/EditEntrySheet.kt","High","3","ui,android,compose,edit,phase2","Phase 2","UI Modernization: Modern & Simple"
"Story","UI-301 Consolidate shared UI system","Unify overlapping action/button/card systems from ui/common and ui/components.","Medium","5","ui,android,compose,design-system,phase3","Phase 3","UI Modernization: Modern & Simple"
"Story","UI-302 Unify date/time picker dialogs","Create one shared dialog layer for date/time pickers and use it across screens.","Medium","2","ui,android,compose,consistency,phase3","Phase 3","UI Modernization: Modern & Simple"
"Story","UI-303 Resolve legacy/orphan UI paths","Remove or wire legacy ReminderSettingsScreen and isolated TravelSection path.","Medium","3","ui,android,compose,cleanup,phase3","Phase 3","UI Modernization: Modern & Simple"
"Story","UI-304 Replace hardcoded strings and normalize a11y labels","Move hardcoded labels to resources and align content descriptions across screens.","Medium","2","ui,android,compose,i18n,a11y,phase3","Phase 3","UI Modernization: Modern & Simple"
"Story","UI-305 Performance baseline pass for critical screens","Run compose-focused perf pass for Today/History/Edit hotspots and document improvements.","Medium","2","ui,android,compose,performance,phase3","Phase 3","UI Modernization: Modern & Simple"
